70405d5d	__drm_atomic_helper_crtc_reset	vmlinux	kernel
305442c8	__drm_atomic_helper_disable_plane	vmlinux	kernel
242c00f8	__drm_atomic_helper_plane_destroy_state	vmlinux	kernel
af878c6b	__drm_atomic_helper_plane_duplicate_state	vmlinux	REQUIRED
b6d5b99e	__drm_atomic_helper_plane_reset	vmlinux	kernel
bb841998	__drm_atomic_helper_private_obj_duplicate_state	vmlinux	REQUIRED
b9cad492	__drm_atomic_state_free	vmlinux	REQUIRED
ae277372	__drm_crtc_commit_free	vmlinux	kernel
ec12af74	__drm_dbg	vmlinux	REQUIRED
4f18a150	__drm_debug	vmlinux	REQUIRED
b11ac7a7	__drm_err	vmlinux	REQUIRED
ea00fe81	__drm_printfn_coredump	vmlinux	kernel
e317082a	__drm_printfn_info	vmlinux	kernel
feb953b1	__drm_printfn_seq_file	vmlinux	kernel
3b0e5e9c	__drm_puts_coredump	vmlinux	kernel
513072fe	__drm_puts_seq_file	vmlinux	kernel
9fab6b91	__dynamic_dev_dbg	vmlinux	kernel
837b7b09	__dynamic_pr_debug	vmlinux	kernel
dcd75307	__ethtool_get_link_ksettings	vmlinux	REQUIRED
c1d8cfaf	__fdget	vmlinux	REQUIRED
262243f6	__filemap_set_wb_err	vmlinux	kernel
e2e0c7c6	__flush_icache_range	vmlinux	kernel
5a095c99	__free_pages	vmlinux	REQUIRED
4c91ff01	__fscrypt_encrypt_symlink	vmlinux	kernel
6e60c3de	__fscrypt_inode_uses_inline_crypto	vmlinux	kernel
c1ae954c	__fscrypt_prepare_link	vmlinux	kernel
801342ce	__fscrypt_prepare_lookup	vmlinux	kernel
5362518c	__fscrypt_prepare_readdir	vmlinux	kernel
9d841ca6	__fscrypt_prepare_rename	vmlinux	kernel
80b32771	__fscrypt_prepare_setattr	vmlinux	kernel
f9033426	__generic_file_write_iter	vmlinux	kernel
f1220c5b	__genphy_config_aneg	vmlinux	kernel
6a5cb5ee	__get_free_pages	vmlinux	REQUIRED
c2a656d9	__get_task_comm	vmlinux	REQUIRED
87eb7b44	__get_vm_area_caller	vmlinux	kernel
4c9af7f2	__getblk_gfp	vmlinux	kernel
06c0aa14	__hci_cmd_sync	vmlinux	kernel
83964547	__hci_cmd_sync_ev	vmlinux	kernel
be362106	__hid_register_driver	vmlinux	kernel
62d87780	__hid_request	vmlinux	kernel
ed269ad2	__hrtimer_get_remaining	vmlinux	REQUIRED
b7ef2ce8	__hvc_resize	vmlinux	kernel
f389fe60	__hw_addr_init	vmlinux	kernel
865029ac	__hw_addr_sync	vmlinux	kernel
3e9110fa	__hw_addr_unsync	vmlinux	kernel
0c922cc7	__hwspin_lock_timeout	vmlinux	kernel
2aac8a01	__hwspin_unlock	vmlinux	kernel
53eea490	__i2c_smbus_xfer	vmlinux	kernel
74210c6f	__i2c_transfer	vmlinux	kernel
122a9634	__iio_device_register	vmlinux	kernel
1cd4b3ad	__inet6_lookup_established	vmlinux	kernel
c328de8f	__inet_lookup_established	vmlinux	kernel
f5a94b83	__init_rwsem	vmlinux	REQUIRED
608741b5	__init_swait_queue_head	vmlinux	REQUIRED
d9a5ea54	__init_waitqueue_head	vmlinux	REQUIRED
75834c90	__insert_inode_hash	vmlinux	kernel
3801776b	__ioread32_copy	vmlinux	REQUIRED
6b4b2933	__ioremap	vmlinux	REQUIRED
2dba276a	__iowrite32_copy	vmlinux	REQUIRED
0d542439	__ipv6_addr_type	vmlinux	REQUIRED
5db075d0	__irq_alloc_descs	vmlinux	kernel
